Year,Round,Condition,CompoundsPresent,DryLaps,TotalLaps,EventName
2025,12,mixed,"HARD,MEDIUM,SOFT",122,122,British Grand Prix
2025,13,mixed,"HARD,MEDIUM",602,602,Belgian Grand Prix
2025,14,dry,"HARD,MEDIUM,SOFT",1284,1284,Hungarian Grand Prix
2025,15,dry,"HARD,MEDIUM,SOFT",976,976,Dutch Grand Prix
2025,16,dry,"HARD,MEDIUM,SOFT",912,912,Italian Grand Prix
2025,17,dry,"HARD,MEDIUM",853,853,Azerbaijan Grand Prix
2025,18,mixed,"HARD,MEDIUM,SOFT",1114,1114,Singapore Grand Prix
2025,19,dry,"HARD,MEDIUM,SOFT",992,992,United States Grand Prix
2025,20,dry,"HARD,MEDIUM,SOFT",1142,1142,Mexico City Grand Prix
2025,21,dry,"HARD,MEDIUM,SOFT",1037,1037,São Paulo Grand Prix
2025,22,dry,"HARD,MEDIUM",767,767,Las Vegas Grand Prix
2025,23,dry,"HARD,MEDIUM,SOFT",888,888,Qatar Grand Prix
2025,24,dry,"HARD,MEDIUM,SOFT",1103,1103,Abu Dhabi Grand Prix
